,0,neg,neu,pos
101,['It was a bad idea to start with The trade war just added to the problem and national debt increase  20190130 22364500000'],0.408,0.518,0.074
102,['It has been way over that until you started a trade war20190130 22360900000'],0.0,1.0,0.0
103,['There Is No SinoAmerican Trade War  by Martin Feldstein  22341700000'],0.433,0.567,0.0
104,['its just steel not like why we got in to trade war over it20190130 22315200000'],0.316,0.684,0.0
105,['Thanks to NPR for having me on All Things Considered today to talk about the trade war  20190130 22312800006'],0.178,0.822,0.0
106,['AMAZING IS JUST HOW STUPID ULTRA RIGHTISTS ARE THIS TRUMPER DOES NOT RECOGNIZE THE EFFECTS OF DONNIEs WINNING TRADE WAR AND HIS TARIFFS DONNIE IS KILLING CATERPILLAR AND A LARGE NUMBER OF OTHER COMPANIES IN HIS STEEL AND ALU TARIFF WAR  20190130 22310200000'],0.305,0.593,0.102
107,['We wont have to worry about inflation if the economy slows Too many variables right now They need to sit tight and only move when its right Trump has a lot going on and can send us in either direction Gov shutdown and trade war can both end badly fast20190130 22303900000'],0.124,0.833,0.043
108,['As top level negotiators try to thrash out a deal to end the trade war between China and the United States a leading Chinese government academic has predicted that the irrational conflict will be long and protracted  pictwittercomfib61YLWIj20190130 22301000000'],0.19,0.708,0.102
109,['The US and China open a pivotal round of highlevel talks aimed at ending their monthslong trade war but differences remain  via ReutersTVpictwittercomyfBaYpXeha20190130 22300000001'],0.1,0.9,0.0
110,['Protesters rush Beijing delegation as USChina trade war talks start with meeting between VP Liu He and USTR Robert Lighthizer   via scmpnews20190130 22291800000'],0.151,0.849,0.0
111,['Forget about Venezuela  worry about the mess youre making of America Personal debt up Gov may close again People work 234 jobs to pay basics People choose between food  meds Homeless rising 2 trillion added to debt next trillion projected Trade war losing jobs bail out20190130 22282400000'],0.319,0.681,0.0
112,['The United States and China were set to try again on Wednesday to dig out from a damaging trade war with a new round of highlevel   pictwittercomzkcu2jPcY820190130 22273300000'],0.218,0.697,0.085
113,['We will know the results of the trade war in 35 days The Fed can pause until then20190130 22272100000'],0.178,0.822,0.0
114,['Trade War Deescalation Chinas Congress to Vote on Foreign Investment Law  chinapictwittercomlRLV7CBUux20190130 22263200000'],0.245,0.755,0.0
115,['realDonaldTrump it was near 30 before you started a trade war you fuck  20190130 22253100000'],0.381,0.619,0.0
116,['Cohen knew trickle down doesnt work so the tax cut would not have worked as he and the administration said without the trade war Did the trade war exacerbate it probably but it was always meant as a means to give the large Republican donors corporations and top1 tax cuts20190130 22244800000'],0.032,0.89,0.078
117,['What does Huawei have to do with the USChina trade war  20190130 22241900000'],0.245,0.755,0.0
118,['In the last year the US China trade war escalated and a new NAFTA deal was created Test your knowledge to see what else you know about US trade 22235500002'],0.119,0.821,0.061
119,['trumptantrum this is the second time How is this tremendous We are just seeing some small recovery from your trade war logic fakenews FAKEpresident20190130 22224600000'],0.14,0.86,0.0
120,['WATCH VIDEO For even the most agile apparel companies moving production in response to tariffs would be a major disruptionone that would likely come with unforeseen issues Hear what you might be missing from Wayne Buchen of apdn  tradewar apparelpictwittercomuN27xhjneT20190130 22200600000'],0.053,0.947,0.0
121,['It was already higher than that months ago until your ridiculous trade war and other actions slowed down the global economy and drove stocks lower20190130 22200400000'],0.211,0.789,0.0
122,['An interesting scenario where the EU could make a bigger difference might be if the USChina trade war resolves and part of the resolution includes China cutting back its business with Iran 20190130 22191200000'],0.139,0.747,0.113
123,['Okay so the logic youre using is Obama gets credit for the rise you blame Trumps trade war with china for the fall then by consistent logic you must be giving trumps policies the credit for this rise again20190130 22184300000'],0.129,0.716,0.155
124,['Congrats realDonaldTrump for winning the fight vs federalreserve Next stop the Trade War vs China20190130 22181100000'],0.361,0.498,0.141
125,['Looks like the trade war had no affect but the fed rate increase did20190130 22174600000'],0.205,0.557,0.238
126,['The Fed did their job and kept inflation in check Trade war alone is enough reason to pause on rates and continue QT QT is like fine tuning the economy from behind the scenes while nobody is paying attention20190130 22173700000'],0.115,0.663,0.222
