Tweets,Date
Analogy Trump cannot cause a particular stock in my portfolio to go up or down but he can influence my overall stocks by starting a trade war with China or shut down the govt indefinitely Difference between cause and influence ,2019-01-30
He got what he wanteda compliant FOMCon to winning the TradeWar with China next POTUS s  ,2019-01-30
It has been there before Didnt the Stock Market lose all gains from last year Didnt your Trade War and your Tweets cause the losses earlier in the year ,2019-01-30
Shifts in Chinas Industrial SupplyChain and the US China TradeWar    ,2019-01-30
A Trade war You mean where he wants other Countries to have to play fair for a change You are such a troll and not even good at that ,2019-01-30
No thanks to you Mr Trade War ,2019-01-30
Japans Omron lowered its profit forecast for the second time this fiscal year as the trade war and slowing Chinese economy dampens demand for factory automation equipment  ,2019-01-30
Until you start tweeting about how well we are doing in the trade war with China and then it takes a dump again Or until the next TrumpShutdown Just dont get sore patting yourself on your back youll find a way to screw it up of that I am  positive ,2019-01-30
trade For USChina trade talks hopes are high expectations low WASHINGTON AP  US and Chinese negotiators are holding highlevel talks aimed at settling a sixmonth trade war that has weakened both sides shaken financial markets and clouded the outlook for the globa ,2019-01-30
Why are Republicans HouseGOP HouseSenate GOP senatemajldr allowing BigBaby realDonaldTrump to run wild Why wont they do their jobs THAT is the million dollar question NoWall Farmers TradeWar pictwittercomkVSCgZwFeb ,2019-01-30
It has gone down  points since you started the trade war ,2019-01-30
Could be this is why Trumps socalled economic advisers went along with Trumps nutty trade war ideathey knew theyd need a big juicy excuse for the failure of their tax cuts to benefit the economy   ,2019-01-30
Get real people  Foxconn is cancelling the Wisconsin deal because of the trade war It might well have been real  but after Huawei would you bring a Chinese manufacturing concern into US jurisdiction No Trumping way ,2019-01-30
Its almost like they did trade war to have a built in excuse for tax cut failings The tax cut will stay in place of course ,2019-01-30
Could be this is why Trumps socalled economic advisers went along with Trumps nutty trade war ideathey knew theyd need a big juicy excuse for the failure of their tax cuts to benefit the economy ,2019-01-30
It was at k before your trade war and tax cut ,2019-01-30
It will drop again as your trade war kicks in ,2019-01-30
So Much Winning TNOIIECBAFTATPPAAFPDATW Although even absent the trade war there was never any chance that the tax cut would have produced the capital expenditure boost the White House predicted It was all a lie   ,2019-01-30
US and Chinese officials try for truce in trade war at day meeting in Washington  CBC News   ,2019-01-30
That darn trade war forcing multibillion dollar corporations to buy back stock and enrich their investors ,2019-01-30
and this isnt even factoring in another TradeWar winheadline ,2019-01-30
Rufus Ebegba always grants interviews is always in the news speaking to press men You have been the head of a government body  understand how easily people lie against you when you dont work in their favour Truth is there is a trade war in that sector this fight has been on ,2019-01-30
GaryCohn on CNBC says the taxcuts he helped architect havent produced the capital spending and investment the White House promised because of the tradewar the administration launched simultaneously ,2019-01-30
I mean he is right The trade war definitely mitigated a lot of potential growth from investment and capital spending ,2019-01-30
I dont approve of the trade war but this shows a pathetic inability to accept responsibility for being wrong The tax cuts didnt produce an investment boom because taxes are not a major factor determining business investment  which we knew beforehand   ,2019-01-30
HarleyDavidson is losing speed hurt by the Trump administrations trade war and the aging of its core babyboomer customer base   ,2019-01-30
High stakes trade negotiations between China and United States underway Highstakes meetings between the United States and China began Wednesday at the White House as negotiators attempt to beat the clock in a day trade war truce  PoliticspictwittercombvyiCiHJ ,2019-01-30
Or how CCP talking points end up as headline frames Is Huawei a Pawn in the Trade War   via ForeignAffairs Huawei MengWanzhou Tradewar ,2019-01-30
From the Korean War to todays trade war explore the defining moments of the USChina relationship since   ,2019-01-30
Stridently challenging China for its blatant IP theft and unfair trade practices although a trade war is a very stupid way to do this and staying in the TPP would have been huge to this end I think this is all I gotWoke Twitter please note my profile pic ,2019-01-30
ScottWalker realDonaldTrump how is that Fox Conn deal working out for us Wisconsinites Fox Conn notes trade war main issue  u working wus prez or against American Workers I mean shutdowns and the embarrassment of you Go away already Walkerscrewedusagin Trumpgotchumped ,2019-01-30
They changed cource in response to Trumps idiotic trade war ,2019-01-30
Leave with No common external tarriff No security justice or military partnership No joint Culture Technology or Immigration policy Its a TradeWar EU will loose ,2019-01-30
Just stop please There is zero proof that any jobs created in Arizona were a direct result of the GOP tax bill There is however lots of evidence that your tax bill exploded the debt and deficit and will probably lead to another recession The trade war didnt help either ,2019-01-30
USChina trade war talks begin with protesters rushing Beijing delegation  South China Morning Post  ,2019-01-30
SPY since the opex high Jan  SPY is up     A lot of good things have happened since then  gov reopened good  trade war wins always good  tech monopolies EPS OK good  Fed complete aboutface from raise  QT to pause everything winning ,2019-01-30
What about the China trade war your going to bring it up non stop to bring down todays news If anyone can bring down the evening news you can  I have faith ,2019-01-30
ICYMI Trade war fears and low demand sees profit growth at Chinas industrial giants cut in half  pictwittercomynKwOgR ,2019-01-30
 News  Jan  PM  Bye Bye Trade War China Plans  TRILLION BUYING SPREE to Reduce US Trade Deficit   News Trump Qanon realDonaldTrump WWGWGA ,2019-01-30
dailykos HarleyDavidson says Trumps trade war wiped away all of their profits this year  ,2019-01-30
nah  this isnt what we voted for Theres no need for any of this Just look at China in their trade war talking tough at the start but then having to give in straight away The buyers control the sellers ,2019-01-30
HarleyDavidson says Trumps trade war wiped away all of their profits this year   ,2019-01-30
Wall is stupid there are walls and fences and electronic monitoring Trump creates crisis then howls and flops with zero cogent plan for fix See wall see healthcare see trade war Hes a fraud and a felon always has been You probs think shutting down gov was good move ,2019-01-30
The standoff illustrates well the brewing battle underway globally as trade policy makers attempt to transition the postwar trading framework to address traditionally nontrade areas Read AtlanticCouncil s Barbara Matthews piece here   tradewar chinapictwittercomwswBbQYAej ,2019-01-30
