Unnamed: 0,User,Date,Tweets
187,droid_life,19-11-18,Samsung EVO Select MicroSD Cards are Stupid Cheap Right Now 128GB for 1999 BlackFridayWeek 
188,droid_life,19-11-18,DEAL Amazon Matches Samsungs 200 Off Galaxy S9 S9 and Note 9 Deal BlackFriday2018 
189,droid_life,18-11-18,Samsungs BlackFriday2018 deals are here with up to 300 off Note 9 S9
190,droid_life,18-11-18,Samsung Black Friday Deals Now Live Up to 300 Off Galaxy Note 9 S9 and S9 BlackFriday2018 
191,droid_life,16-11-18,Video Tour of Samsungs new One UI on a Galaxy S9 galaxys9 
192,droid_life,16-11-18,Samsungs One UI Beta with Android Pie goes live for Galaxy S9 S9
193,droid_life,16-11-18,Samsung is going to annoy you over use of free themes
194,droid_life,15-11-18,Video First Look at Samsung One UI Beta on Galaxy S9 galaxys9 
195,droid_life,15-11-18,Samsung One UI and Pie Beta Program Now Live in the US for S9 galaxys9 
196,droid_life,15-11-18,Samsung Doesnt Want You Using Free Themes Anymore
197,droid_life,14-11-18,Samsung might skip the notch on Galaxy S10 and go with InfinityO
198,droid_life,09-11-18,DEAL Verizon Galaxy S9 Note 9 are 100 Off From Samsung With 300 Bonus Bundle galaxynote9 
199,droid_life,08-11-18,Here are some display specs for Samsungs foldable Infinity Flex display
200,droid_life,08-11-18,Heres a pretty Samsung One UI wallpaper for you
201,droid_life,08-11-18,A photo tour of Samsungs new One UI
202,droid_life,08-11-18,Samsung has notched displays in the works You OK Samsung fans
203,droid_life,08-11-18,Samsungs new One UI looks pretty is ready for Galaxy S9 and Note 9 beta testers
204,droid_life,08-11-18,And here is Samsungs first foldable display phone
205,droid_life,07-11-18,Samsung Revealed Infinity Flex Display Specs for Its Foldable Phone
206,droid_life,07-11-18,You Know You Want That Wallpaper From Samsungs One UI
207,droid_life,07-11-18,Heres a Photo Tour of Samsungs One UI
208,droid_life,07-11-18,Samsung Who Laughed at Googles Notch is Ready to Introduce Notches Maybe
209,droid_life,07-11-18,Samsung One UI is the Software UX Refresh Weve Been Waiting For
210,droid_life,07-11-18,Here is Samsungs Foldable Display Device
211,droid_life,07-11-18,Samsung Experience aka TouchWiz refresh Yes please 
212,droid_life,07-11-18,Samsungs Galaxy Home Bixby Speaker Arrives at FCC in Time for Launch Details
213,droid_life,07-11-18,Watch Samsungs Developer Conference Where We May See a Foldable Phone
214,droid_life,06-11-18,Were learning more about Samsungs foldable ahead of a potential unveiling this week at SDC 
215,droid_life,05-11-18,Samsung May Launch Android Pie Beta Program During SDC This Week
216,droid_life,05-11-18,Latest Samsung Foldable Device Report Aligns With Concept Image From 2017
217,droid_life,26-10-18,Samsung still seems confused on what foldable device will be 
218,droid_life,26-10-18,Samsung Still Seems Confused on Its Foldable Phone But Itll Run Special Android galaxys10 
219,droid_life,28-10-19,US Galaxy S10 Lineup Getting Note 10s Live Focus Video AR Doodle in New Update
220,droid_life,25-10-19,One UI 20 Beta Opened to Galaxy Note 10 Lineup
226,droid_life,07-10-19,Theres Something Off About These Galaxy Fold Reviews on Best Buy
227,droid_life,04-10-19,Our thoughts after a week with the Galaxy Fold 
228,droid_life,04-10-19,Galaxy Fold Thoughts After a Week of Folding My Phone
229,droid_life,03-10-19,VIDEO Our Favorite Galaxy Fold Features galaxyfold 
230,droid_life,01-10-19,Drop Test Confirms Dont Drop the Galaxy Fold
231,droid_life,30-09-19,Verizon Galaxy S9 S9 Getting September Security Patch
232,droid_life,30-09-19,My Galaxy Fold Display is Not Damaged After a Day galaxyfold 
234,droid_life,27-09-19,Verizon Galaxy S8 S8 Note 8 and S10 5G Receive September Security Patch
235,droid_life,27-09-19,Podcast We Have the Galaxy Fold Show kicks off at 1230PM Pacific
236,droid_life,27-09-19,RT  2 Galaxy Folds gt 4 iPhone 11 Pros lol 
237,droid_life,24-09-19,Galaxy S10 Family Picking Up Suite of Note 10 Features in New Update
238,droid_life,23-09-19,Galaxy Fold Arrives This Week in the US galaxyfold 
239,droid_life,20-09-19,We Crushed 8GB Data on Verizon 5G in 1 Minute With a Galaxy Note 10 5G 5G 
240,droid_life,20-09-19,Verizon Galaxy S10 Note 10 Lineups Updated With September Security Patch
241,droid_life,18-09-19,Android 10 beta for Galaxy S10 Galaxy Note 10 reported to launch next month 
242,droid_life,13-09-19,Pixel 4 XL Gets a Galaxy Note 10 Comparison Already pixel4
243,droid_life,11-09-19,5 Reasons the Galaxy Note 10 is Worth Buying
244,droid_life,11-09-19,Second Galaxy arrives for Android 
245,droid_life,10-09-19,Second Galaxy Available for Android Reminds Me a Lot of EVE Online
249,droid_life,05-09-19,Android 10 Update for TMobile Galaxy Note 10 Galaxy S10 Already in Testing
250,droid_life,30-08-19,RT  PSA Public Software Announcement  GalaxyS10 devices getting SW update including bug fixes security updates amp Nigh
251,droid_life,29-08-19,Verizon Galaxy S10 Family Grabs a Fresh Update
252,droid_life,29-08-19,Hole punch wallpapers for your Note 10 are here galaxynote10 
253,droid_life,29-08-19,Our Galaxy Note 10 review galaxynote10 
254,droid_life,28-08-19,Cool Wallpapers to Go With Your GalaxyNote10 Camera Cutout
258,droid_life,26-08-19,PSA Your GalaxyNote10 Doesnt Have a Dead Pixel Thats the Proximity Sensor
260,droid_life,23-08-19,We got a couple Galaxy Note 10 phones We did a podcast about it 
261,droid_life,23-08-19,A Lot of Galaxy Phones on Verizon are Getting Updated With August Security Patch
262,droid_life,23-08-19,VIDEO First 10 things to do with the Galaxy Note 10
263,droid_life,22-08-19,Galaxy Note 10 First 10 Things to Dogalaxynote10
264,droid_life,22-08-19,Last Chance to Get the Galaxy Note 10 150 PreOrder Credit galaxynote10 
265,droid_life,21-08-19,VIDEO Galaxy Note 10 Unboxing
266,droid_life,21-08-19,Verizon Galaxy Note 10 lineup getting updated 
267,droid_life,20-08-19,Verizon Galaxy Note 10 Lineup Already Getting First Update
268,droid_life,19-08-19,Galaxy Note 10 Orders Now Shipping With Wednesday Arrival galaxynote10 
269,droid_life,14-08-19, Galaxy Fold running KitKat Very nice P
270,droid_life,12-08-19,Both DxOMark and DisplayMate are loving the Galaxy Note 10 
271,droid_life,12-08-19,Both DxOMark and DisplayMate Love the Galaxy Note 10
274,droid_life,08-08-19,Handson with the Galaxy Note 10 and Note 10 
276,droid_life,08-08-19,Video Galaxy Note 10 Note 10 First Look
277,droid_life,08-08-19,These are the best deals for the Galaxy Note 10 so far 
278,droid_life,08-08-19,600 off a Galaxy Note 10 aint bad at all 
279,droid_life,08-08-19,All your Galaxy Note 10 specs are right here 
280,droid_life,08-08-19,Galaxy Note 10 is all official now Preorders start at midnight tonight priced starting at 949 
281,droid_life,08-08-19,Poll Buying a Galaxy Note 10 galaxynote10 
282,droid_life,07-08-19,Best Galaxy Note 10 Note 10 and Note 10 5G PreOrder Deals galaxynote10 
283,droid_life,07-08-19,Reserve Your Galaxy Note 10 Now and Save Up to 600 With Eligible TradeIn
286,droid_life,07-08-19,You can watch the Note 10 event right here if you want GalaxyUnpacked 
287,droid_life,06-08-19,Heres a Galaxy Note 10 Note 10 Official Feature Leak galaxynote10 
