created_at,text,retweet_count,favorite_count,lang
Fri Nov 08 06:10:41 +0000 2019,"['RT', '3D_News', 'Обзор', 'Samsung', 'Galaxy', 'Fold', 'главный', 'смартфон', 'года']",1,0,und
Fri Nov 08 06:10:39 +0000 2019,"['expressoshow', 'SamsungMobileSA', 'KatlegoMaboe', 'Powered', 'by', '8MHz', 'Samsung', 'Exynos', '7904', 'Octa', 'core', 'processor', '6', '4', 'inch', '1']",0,0,und
Fri Nov 08 06:10:38 +0000 2019,"['RT', 'expressoshow', 'You', 'could', 'win', '1', 'of', '10', 'SamsungMobileSA', 'Galaxy', 'A30s', 'special', 'editions', 'What', 'are', 'your', '2', 'favourite', 'A30s', 'features', 'amp', 'why', 'Be', 'su']",86,0,en
Fri Nov 08 06:10:35 +0000 2019,"['RT', 'FallonTonight', 'The', 'Tonight', 'Show', 'partners', 'with', 'SamsungMobileUS', 'to', 'help', 'surprise', '3', 'UT', 'Austin', 'students', 'with', 'Samsung', 'swag', 'and', 'pay', 'the', 'r']",297,0,en
Fri Nov 08 06:10:32 +0000 2019,"['RT', 'HDblog', 'Samsung', 'regala', 'contenuti', 'in', '8K', 'su', 'Chili', 'con', 'l', 'acquisto', 'di', 'un', 'TV', 'via', 'HDblog']",1,0,it
Fri Nov 08 06:10:32 +0000 2019,"['RT', 'kratonjogja', 'Sahabat', 'selama', 'berada', 'di', 'area', 'PameranSekaten2019', 'jangan', 'lupa', 'Upload', 'foto', 'terbaik', 'di', 'Instagram', 'berlatar', 'spot', 'favoritmu', 'Ber']",2,0,in
Fri Nov 08 06:10:29 +0000 2019,"['RT', 'twandroid', 'Demandez', 'l', 'actu', 'du', 'jour', 'Free', 'Mobile', 'améliore', 'son', 'réseau', '4G', 'La', 'guerre', 'entre', 'les', 'USA', 'et', 'Huawei', 'ne', 'gêne', 'pas', 'ce', 'dernier']",1,0,fr
Fri Nov 08 06:10:26 +0000 2019,"['RT', 'bIondiewasabi', 'when', 'she', 'tells', 'you', 'I', 'don', 't', 'usually', 'do', 'this', 'but', 'then', 'she', 'unhinges', 'her', 'jaw', 'like', 'a', 'Python', 'and', 'slurps', 'the', 'soul', 'out', 'your', 'me']",108,0,en
Fri Nov 08 06:10:25 +0000 2019,"['RT', 'SamsungIndia', 'AshokyadavRs', 'You', 've', 'just', 'unlocked', 'the', 'power', 'of', 'creativity', 'Now', 'shoot', 'epic', 'pictures', 'and', 'videos', 'and', 'edit', 'on', 'the', 'go', 'with', 'th']",1,0,en
Fri Nov 08 06:10:21 +0000 2019,"['Amazon', 'Sony', 'Xiaomi', 'Samsung', 'Devices', 'Hacked', 'at', 'Pwn2Own', 'Hacking', 'Contest', 'at', 'Tokyo', 'In', 'a', 'hacking', 'contest', 'infosec']",0,0,en
Fri Nov 08 06:10:20 +0000 2019,"['Главное', 'оружие', 'Samsung', 'Galaxy', 'S11']",0,0,und
Fri Nov 08 06:10:06 +0000 2019,"['Система', 'быстрых', 'платежей', 'намерена', 'максимально', 'упростить', 'покупки', 'в', 'интернете', 'Рассматриваются', 'несколько', 'способов', 'в']",0,1,ru
Fri Nov 08 06:10:06 +0000 2019,"['RT', 'expressoshow', 'You', 'could', 'win', '1', 'of', '10', 'SamsungMobileSA', 'Galaxy', 'A30s', 'special', 'editions', 'What', 'are', 'your', '2', 'favourite', 'A30s', 'features', 'amp', 'why', 'Be', 'su']",86,0,en
