Date,Open,High,Low,Close,Adj Close,Volume
3/9/2017,40200,40300,40020,40200,8496.686523,14372250
3/10/2017,39960,40420,39860,40180,8492.458008,10227800
3/13/2017,40040,40980,40040,40600,8581.230469,7424100
3/14/2017,40620,41540,40500,41360,8741.863281,11325050
3/15/2017,40800,41440,40800,41400,8750.318359,9587850
3/16/2017,41800,42180,41540,41840,8843.317383,9933150
3/17/2017,41800,42500,41720,42400,8961.678711,12602300
3/20/2017,42000,42120,41740,41900,8855.999023,10250050
3/21/2017,41780,42680,41760,42560,8995.496094,14220150
3/22/2017,41600,42460,41580,42460,8974.361328,16427250
3/23/2017,42200,42360,41700,41800,8834.862305,15397100
3/24/2017,41600,41980,41080,41500,8771.455078,12808150
3/27/2017,41200,41880,41180,41200,8708.045898,12177650
3/28/2017,41560,41840,41380,41480,8767.227539,8216250
3/29/2017,41740,41960,41580,41780,8830.635742,10093250
3/30/2017,41880,42440,41880,41980,10658.71289,8204000
3/31/2017,41820,42020,41200,41200,10460.6709,10500300
4/3/2017,41400,41720,41300,41440,10521.60742,9579400
4/4/2017,41600,42180,41520,42080,10684.10254,12255500
4/5/2017,41900,42240,41700,42140,10699.33789,10699700
4/6/2017,42000,42080,41600,41840,10623.16797,9683400
4/7/2017,41800,41820,41160,41600,10562.23047,10021000
4/10/2017,41940,41940,41500,41940,10648.55762,7141350
4/11/2017,41940,41940,41580,41600,10562.23047,7172900
4/12/2017,41860,41940,41700,41900,10638.40332,8274900
4/13/2017,41660,42460,41660,42420,10770.42969,9040800
4/14/2017,42160,42260,41760,42020,10668.86914,5462850
4/17/2017,42000,42080,41520,41560,10552.07422,5224750
4/18/2017,41680,41820,41280,41500,10536.8418,6860650
4/19/2017,41300,41420,40900,40900,10384.50195,11762900
4/20/2017,40580,40800,40080,40280,10227.08398,21148850
4/21/2017,40480,41400,40480,40760,10348.95606,15130500
4/24/2017,41260,41260,40920,41240,10470.82715,8990150
4/25/2017,41460,42740,41320,42700,10841.52051,19299600
4/26/2017,42700,42800,42520,42800,10866.91211,14794800
4/27/2017,42700,44520,41960,43840,11130.96875,23032250
4/28/2017,45780,45800,44520,44620,11329.00879,22685700
5/2/2017,45500,45500,44760,44900,11400.10156,14068300
5/4/2017,45700,45700,44860,45520,11557.51856,13690100
5/8/2017,45520,47020,45340,47020,11938.36914,19582550
5/10/2017,46160,47220,45600,45600,11577.83106,23410950
5/11/2017,45420,46180,45220,45500,11552.44336,21277850
5/12/2017,45760,46160,45660,45820,11633.6875,9422900
5/15/2017,45620,46280,45620,46100,11704.78125,8001400
5/16/2017,46660,46800,46100,46380,11775.87402,8803750
5/17/2017,46120,46640,46100,46340,11765.71582,7424450
5/18/2017,45740,46000,45540,45940,11664.1582,11160350
5/19/2017,45640,45780,44720,44720,11354.39941,15762350
5/22/2017,45040,45380,44760,45100,11450.87988,17643550
5/23/2017,45400,45580,44900,44920,11405.17871,12607050
5/24/2017,44860,45300,44800,44880,11395.02148,8675400
5/25/2017,45160,45680,44800,45680,11598.1416,13044800
5/26/2017,45600,46460,45540,46080,11699.7041,13613650
5/29/2017,46220,46400,45380,45620,11582.90918,8739550
5/30/2017,45520,45660,44480,44640,11334.08691,12433600
5/31/2017,44580,45020,44400,44700,11349.32031,18669100
6/1/2017,44860,44900,44400,44680,11344.24316,9753500
6/2/2017,45060,45960,45000,45960,11669.23535,12488750
6/5/2017,46040,46360,45720,45940,11664.1582,7599400
6/7/2017,46500,46500,45240,45300,11501.66113,13729400
6/8/2017,45000,45580,45000,45160,11466.11523,13978750
6/9/2017,45680,46440,45600,46100,11704.78125,11732850
